Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Curabitur!,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Brazilian and Global Portuguese Studies;Electrical and Computer Engineering,Global Cultural Studies;Inequality Studies;Russian Culture and Language,Science and the Public,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle,Retail and e-commerce;Physical Therapy,Academic success and study skills;Work-life balance and time management,Family Time;Outdoor Activities/Hiking/Camping;Music/Dance,9,1,0,9,0,7,2,5,0
Aliquet ma,testemail@qemailserver.com,Pratt,Senior,Middle Eastern,None,Computational Media,None;Global Cultural Studies,East Asian Studies;Markets and Management,MFA (Master of Fine Arts);MeD (Master of Education);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health),UK;India,Nursing;Food and beverage;Research and Development,Networking and professional connections;Work-life balance and time management,Family Time;Outdoor Activities/Hiking/Camping,2,5,0,10,3,0,4,0,0
Praesent p,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Environmental Engineering;Physics,Computational Biology and Bioinformatics,Ethics and Society,MD (Doctor of Medicine);MBA (Masters of Business Administration);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Boston MA,Healthcare;Hospitality and Tourism;Religion,Academic success and study skills,Athletics/Playing Sports;Time with Friends,4,1,9,5,7,5,7,8,0
Justo pede,testemail@qemailserver.com,Pratt,Sophomore,Middle Eastern;Native American or American Indian,None,Civil Engineering;Computer Science;Public Policy Studies,Environmental Sciences and Policy,Health Policy;Sustainability Engagement,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Philadelphia and mid/southern NJ,Journalism;Law / Legal Services;Hospitality and Tourism,Personal growth and self-improvement;Work-life balance and time management,Athletics/Playing Sports,8,9,7,2,1,3,9,4,0
Ridiculus ,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Chemistry,Medical Sociology,None;Policy Journalism and Media Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Washington DC;Houston/Dallas/Austin;Nashville TN,Venture Capital,Networking and professional connections;Emotional support,Fitness;Visual Arts/Crafts;Music/Dance,2,2,8,8,4,4,2,9,0
Enim neque,testemail@qemailserver.com,Pratt,Junior,White;Other;Prefer not to answer,None,Ancient Religion and Society;Environmental Sciences and Policy;Linguistics,Music,Architectural Engineering;Information Science and Information Studies;Materials Science and Engineering,None / Not listed;MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Charlotte NC,Journalism;Arts / Creative Industries,Career exploration and decision-making,Pets;Performing Arts,7,1,2,7,10,8,4,2,0
Rhoncus cu,testemail@qemailserver.com,Pratt,Senior,Native American or American Indian;White,None,Art History and Visual Arts;Classical Languages;Medieval and Renaissance Studies,Energy Engineering;Inequality Studies;Political Science,Islamic Studies;Latin American Studies;Policy Journalism and Media Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Northern California;Charlotte NC,Hospitality and Tourism;Food and beverage,Skill development in a specific field;Networking and professional connections,Outdoor Activities/Hiking/Camping;Traveling;Fishing/Hunting,2,0,6,2,4,2,3,4,0
Fermentum ,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Brazilian and Global Portuguese Studies,Global Health;Polish Culture and Language,Child Policy Research;Information Science and Information Studies;Latinx Studies in the Global South,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL;Baltimore MD;Richmond VA,Journalism;Accounting;Military,Networking and professional connections;Academic success and study skills,Visual Arts/Crafts,2,4,10,8,0,4,8,1,0
Dolorem lo,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;White,None,Interdisciplinary Engineering and Applied Science (IDEAS),Asian American and Diaspora Studies;Italian Studies,Latinx Studies in the Global South;Philosophy Politics and Economics;Science and the Public,MBA (Masters of Business Administration);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Chicago IL,Biotechnology;Venture Capital,Networking and professional connections;Personal growth and self-improvement,Athletics/Playing Sports;Music/Dance,1,0,4,6,1,3,0,1,0
Id. Faucib,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Middle Eastern;Native American or American Indian;White;Other,None,Electrical and Computer Engineering;Italian and European Studies;Mathematics,Asian American and Diaspora Studies;Linguistics;Photography,Human Rights,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Washington DC;Houston/Dallas/Austin;India,Technology / Software / IT;Healthcare;Research and Development,Academic success and study skills;Personal growth and self-improvement,Traveling;Watching Sports,6,9,1,5,9,8,7,5,0
Nibh diam ,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Native American or American Indian;Prefer not to answer,None,Interdisciplinary Engineering and Applied Science (IDEAS);Physics;Undecided,Education,East Asian Studies;Ethics and Society,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Environmental Management);MSW (Master of Social Work);MPA (Master of Public Administration),Pacific Northwest/Seattle;EU,Non-Profit and Social Services,Networking and professional connections;Personal growth and self-improvement;Work-life balance and time management,Fashion;Gaming,4,6,5,4,3,5,1,9,0
Dolor. Ult,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Biology;Interdisciplinary Engineering and Applied Science (IDEAS),Photography;Religious Studies;Russian and East European Literatures in Translation,Decision Sciences;Human Rights,MEM (Master of Engineering Management);MHA (Master of Healthcare Administration),Charlotte NC;Richmond VA,Construction,Career exploration and decision-making;Personal growth and self-improvement,Volunteering,10,4,1,3,6,2,5,4,0
Blandit sc,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Native American or American Indian;White,None,Italian and European Studies,Computer Science;Inequality Studies,None;East Asian Studies;Sustainability Engagement,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MM (Master in Management);MEng (Master of Engineering),Nashville TN;China,Energy and Utilities,Career exploration and decision-making;Academic success and study skills,Fashion;Watching Sports,9,9,3,7,8,3,6,8,0
Magnis. Cu,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Civil Engineering,Classical Civilization;Energy Engineering;Global Health,Human Rights,PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL,Construction;Agricultural and Food Science;Private Equity,Academic success and study skills;Emotional support,Fashion;Pets;Fishing/Hunting,1,5,0,2,5,2,0,1,0
Augue volu,testemail@qemailserver.com,Pratt,Senior,Other,None,Global Health,Evolutionary Anthropology;Marine Science and Conservation;Neuroscience,Aerospace Engineering;Child Policy Research;Energy and the Environment,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;New York City/Tri-State area;China,Artificial Intelligence / Machine Learning / Data Science;Biotechnology,Work-life balance and time management,Pets;Movies/TV,7,7,8,5,10,1,8,7,0
Blandit fa,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,German;Theater Studies,Earth and Climate Sciences;Electrical and Computer Engineering;Russian Culture and Language,Health Policy;Information Science and Information Studies;Latin American Studies,MeD (Master of Education),I don't know/Skip this question;UK;India,Education;Marketing / Advertising,Networking and professional connections,Gaming;Watching Sports,0,4,9,10,6,2,8,1,0
Cras curab,testemail@qemailserver.com,Pratt,Junior,Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Art History and Visual Arts;Asian and Middle Eastern Studies,Cultural Anthropology;Greek;Polish Culture and Language,Decision Sciences;Documentary Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering),Richmond VA,Nursing;Construction,Work-life balance and time management,Reading;Performing Arts,3,4,1,2,4,1,3,4,0
Nibh aliqu,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Linguistics and Computer Science,Classical Archaeology,Global Development Engineering,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEng (Master of Engineering),Raleigh/Durham/Chapel Hill,Journalism;Veterinary Medicine,Career exploration and decision-making;Emotional support,Family Time;Volunteering,5,1,4,9,9,9,3,9,0
Maecenas e,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Italian and European Studies,Global Cultural Studies,Islamic Studies;Philosophy Politics and Economics;Science and the Public,None / Not listed;MD (Doctor of Medicine);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MPA (Master of Public Administration),Charlotte NC;Richmond VA,Hospitality and Tourism,Academic success and study skills;Work-life balance and time management;Emotional support,Family Time;Athletics/Playing Sports;Volunteering,1,10,5,3,9,2,7,1,0
Justo sapi,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;White;Other,None,Gender Sexuality and Feminist Studies;Physics;Psychology,Energy Engineering;History;Visual Arts,Ethics and Society,PhD (Doctor of Philosophy);MHA (Master of Healthcare Administration),Nashville TN;Denver CO,Marketing / Advertising;Veterinary Medicine,Skill development in a specific field;Emotional support,Cooking/Baking;Gaming;Traveling,7,9,6,4,8,1,8,4,0
Ultrices e,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,German;Mathematics,Music;Physics,Innovation and Entrepreneurship;Philosophy Politics and Economics;Robotics and Automation,None / Not listed;MD (Doctor of Medicine);MA (Master of Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MM (Master in Management);MEng (Master of Engineering),Atlanta GA;Philadelphia and mid/southern NJ,Education;Energy and Utilities;Fashion and Apparel,Work-life balance and time management,Gaming;Reading;Movies/TV,2,9,7,5,4,2,5,9,0
