Count,Name (First and Last),NetID,What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Gender,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
176,Vitae; iac,176,testemail@qemailserver.com,Pratt,Junior,Female,Other;Prefer not to answer,None,Mechanical Engineering,Medical Sociology;Psychology,Latinx Studies in the Global South;Policy Journalism and Media Studies;Sustainability Engagement,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MSN (Master of Science in Nursing);MPH (Master of Public Health);MM (Master in Management),New York City/Tri-State area;Houston/Dallas/Austin,Non-Profit and Social Services,Career exploration and decision-making;Emotional support,Reading;Traveling,5,5,8,5,7,6,1,0,0
177,Velit sit ,177,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Sciences and Policy;Linguistics,Medical Sociology,None;Human Rights;Latin American Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health),Northern California;Miami/Central Florida/Tampa Bay;Richmond VA,Energy and Utilities;Fashion and Apparel;Environmental Science,Career exploration and decision-making;Personal growth and self-improvement;Emotional support,Volunteering,6,7,1,1,8,5,2,2,0
178,Elit wisi ,178,testemail@qemailserver.com,Trinity,Sophomore,Female,Hispanic or Latinx;Native American or American Indian,None,Mathematics;Undecided,Classical Archaeology;Linguistics;Machine Learning and Artificial Intelligence,Global Development Engineering;Islamic Studies;Policy Journalism and Media Studies,MBA (Masters of Business Administration);MFA (Master of Fine Arts);MEM (Master of Engineering Management),Southern California;Houston/Dallas/Austin,Technology / Software / IT;Finance / Investment / Banking;Healthcare,Networking and professional connections;Academic success and study skills;Emotional support,Fitness,6,8,8,10,3,5,5,8,0
179,Justo grav,179,testemail@qemailserver.com,Pratt,Junior,Male,Native American or American Indian;White;Other,None,Biomedical Engineering,Dance;Visual Arts,Human Rights;Jewish Studies;Latin American Studies,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Nursing;Biotechnology;Military,Networking and professional connections,Fitness;Movies/TV,5,8,6,3,1,3,10,2,0
180,Dignissim ,180,testemail@qemailserver.com,Trinity,Sophomore,Female,Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,History,Brazilian and Global Portuguese Studies;Music,Architectural Engineering;Digital Intelligence,None / Not listed;MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MPA (Master of Public Administration),Nashville TN;Richmond VA,Construction;Veterinary Medicine,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Fashion;Time with Friends,2,2,4,7,4,7,9,8,0
181,Ultrices l,181,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Ancient Religion and Society;Biophysics;German,Energy Engineering;Philosophy,Decision Sciences;Documentary Studies,MD (Doctor of Medicine);MA (Master of Arts);MeD (Master of Education);MSW (Master of Social Work);MHA (Master of Healthcare Administration),New York City/Tri-State area,Agricultural and Food Science;Academia / Higher Ed,Skill development in a specific field;Networking and professional connections;Academic success and study skills,Fashion;Performing Arts;Fishing/Hunting,10,5,10,2,7,5,2,7,0
182,At quam al,182,testemail@qemailserver.com,Pratt,Senior,Female,Asian or Pacific islander;Middle Eastern;Prefer not to answer,None,Asian and Middle Eastern Studies;Dance,Global Health,Jewish Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Washington DC;Charlotte NC,Energy and Utilities;International Relations,Skill development in a specific field;Networking and professional connections;Academic success and study skills,Gardening,5,9,1,2,2,7,3,7,0
183,Viverra po,183,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;White;Prefer not to answer,None,Biology,Computational Media;Linguistics;Physics,Jewish Studies;Robotics and Automation;Sustainability Engagement,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MFA (Master of Fine Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill,Education,Skill development in a specific field;Academic success and study skills,Fashion;Movies/TV;Fishing/Hunting,3,6,6,2,2,0,4,9,0
184,Temporibus,184,testemail@qemailserver.com,Pratt,Senior,Female,Asian or Pacific islander;Hispanic or Latinx,None,Cultural Anthropology;Linguistics,Asian American and Diaspora Studies;Computer Science;Environmental Sciences and Policy,Islamic Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;Richmond VA;EU,Finance / Investment / Banking;Pharmaceutical;Private Equity,Work-life balance and time management,Performing Arts;Time with Friends;Fishing/Hunting,5,8,3,10,4,3,1,1,0
185,Sem magnis,185,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander,None,Visual and Media Studies,Asian American and Diaspora Studies;Global Cultural Studies,Aerospace Engineering;Decision Sciences;Health Policy,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Technology / Software / IT,Career exploration and decision-making;Skill development in a specific field;Emotional support,Time with Friends,8,8,1,7,6,10,6,6,0
186,Pellentesq,186,testemail@qemailserver.com,Trinity,Sophomore,Female,Black or African-American;Native American or American Indian,None,International Comparative Studies,Music,Ethics and Society;Science and the Public,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL,Environmental Science;Religion,Academic success and study skills;Personal growth and self-improvement,Family Time,1,2,10,1,5,6,6,10,0
187,Ultrices e,187,testemail@qemailserver.com,Pratt,Sophomore,Male,Prefer not to answer,None,Art History and Visual Arts;French Studies,Visual and Media Studies,East Asian Studies;Jewish Studies,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Philadelphia and mid/southern NJ,Finance / Investment / Banking;Nursing;Hospitality and Tourism,Personal growth and self-improvement,Volunteering,5,4,3,0,7,7,6,10,0
188,Leo; tempo,188,testemail@qemailserver.com,Trinity,Sophomore,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Engineering;Evolutionary Anthropology;Gender Sexuality and Feminist Studies,Art History;German;Latin,Health Policy,JD (Juris Doctorate/Law);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Southern California;UK,Manufacturing and engineering,Networking and professional connections;Work-life balance and time management,Family Time;Traveling;Movies/TV,3,10,1,3,4,5,7,2,0
189,Ab commodo,189,testemail@qemailserver.com,Pratt,Junior,Male,Other,None,Statistical Science,Computational Media;Greek;Medieval and Renaissance Studies,Sustainability Engagement,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),Denver CO;Richmond VA,Energy and Utilities;Politics / Government and public sector;Artificial Intelligence / Machine Learning / Data Science,Networking and professional connections;Work-life balance and time management;Emotional support,Fashion,1,0,1,1,2,9,6,3,0
190,Sit elit! ,190,testemail@qemailserver.com,Trinity,Sophomore,Female,Other;Prefer not to answer,None,Ancient Religion and Society;Art History;History,Economics;German,Digital Intelligence;Health Policy;Human Rights,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MHA (Master of Healthcare Administration);MM (Master in Management),Pacific Northwest/Seattle;Denver CO;UK,Aerospace and Defense,Career exploration and decision-making,Gardening;Athletics/Playing Sports;Music/Dance,10,7,2,7,0,4,0,3,0
191,Viverra; r,191,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Native American or American Indian;Other,None,History,Asian and Middle Eastern Studies;Electrical and Computer Engineering;Spanish Studies,Energy and the Environment;Sustainability Engagement,MS (Master of Science),Pacific Northwest/Seattle;UK,Technology / Software / IT;Finance / Investment / Banking;Real estate,Networking and professional connections,Performing Arts,8,3,6,6,7,1,5,10,0
192,Luctus. Qu,192,testemail@qemailserver.com,Trinity,Senior,Female,Black or African-American;White,None,Linguistics and Computer Science;Spanish Latin American and Latinx Studies,Cinematic Arts;Energy Engineering,Digital Intelligence;Latin American Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Atlanta GA;Pacific Northwest/Seattle,Private Equity,Work-life balance and time management,Fitness;Outdoor Activities/Hiking/Camping,8,4,2,5,7,6,1,10,0
193,Iaculis im,193,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Global Cultural Studies;Spanish Latin American and Latinx Studies,Linguistics,Human Rights;Information Science and Information Studies,PhD (Doctor of Philosophy),Nashville TN;Miami/Central Florida/Tampa Bay,Politics / Government and public sector,Career exploration and decision-making;Emotional support,Outdoor Activities/Hiking/Camping,2,0,5,9,9,4,7,2,0
194,Maecenas s,194,testemail@qemailserver.com,Pratt,Junior,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Mathematics,Environmental Sciences and Policy;Russian and East European Literatures in Translation;Sexuality Studies,Health Policy,MD (Doctor of Medicine);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MPP (Masters of Public Policy),Philadelphia and mid/southern NJ,Telecommunications,Career exploration and decision-making;Personal growth and self-improvement,Gaming;Gardening;Traveling,10,2,0,1,9,4,9,3,0
195,Dui phasel,195,testemail@qemailserver.com,Trinity,Senior,Male,Black or African-American;Middle Eastern;White,None,Biomedical Engineering;Global Health,Psychology,Energy and the Environment;Global Development Engineering;Sustainability Engagement,JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health),Houston/Dallas/Austin,Food and beverage;Veterinary Medicine;Venture Capital,Skill development in a specific field;Personal growth and self-improvement;Emotional support,Gaming;Outdoor Activities/Hiking/Camping,4,7,5,6,2,5,8,3,0
196,Tempus aug,196,testemail@qemailserver.com,Trinity,Sophomore,Female,Asian or Pacific islander;Black or African-American;Native American or American Indian;Prefer not to answer,None,Civil Engineering;French Studies;Visual and Media Studies,Physics,Global Development Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Pacific Northwest/Seattle,Artificial Intelligence / Machine Learning / Data Science;Agricultural and Food Science;Venture Capital,Skill development in a specific field;Networking and professional connections;Academic success and study skills,Movies/TV;Fishing/Hunting,3,9,2,9,9,10,8,1,0
